unique_id,timestamp,tag,data,eval_test,model_version,model_version_note,runtime
cf9b718c-a592-4b4a-92a8-25c2c06c10b7,1618828168.9760995,all,"('2017-12-05', '2019-05-27')",{'rmse': 48585.0},0.1,supervised learning model for time-series,000:00:05
0b642b4b-227f-4003-808e-826cd2342eaa,1618828180.122047,all,"('2017-12-05', '2019-05-27')",{'rmse': 35903.0},0.1,supervised learning model for time-series,000:00:05
f0e9c322-c77b-4e29-8dd9-76370ba167c6,1618828186.0235412,united_kingdom,"('2017-12-09', '2019-05-26')",{'rmse': 25657.0},0.1,supervised learning model for time-series,000:00:05
c290d625-0cc7-4525-bcee-c8ccae3235f1,1618828197.17174,united_kingdom,"('2017-12-09', '2019-05-26')",{'rmse': 29509.0},0.1,supervised learning model for time-series,000:00:05
9d272526-31a9-404a-a767-4ad979edc2e9,1618828447.4641001,all,"('2017-11-30', '2019-05-31')",{'rmse': 43183.0},0.1,supervised learning model for time-series,000:00:05
e8e577dd-cd77-4fc0-804c-21accc2b7144,1618828458.921884,all,"('2017-11-30', '2019-05-31')",{'rmse': 32609.0},0.1,supervised learning model for time-series,000:00:05
d24199c0-96af-4447-8ece-7c40d5dfcc8f,1618828464.3814068,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 50337.0},0.1,supervised learning model for time-series,000:00:05
af489d06-fd67-4422-94f1-0f1b7abe6152,1618828476.146466,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 28950.0},0.1,supervised learning model for time-series,000:00:05
0b55920a-9c9a-4a60-9dee-a080fefe3f6d,1618828582.0172842,all,"('2017-12-02', '2019-05-30')",{'rmse': 35905.0},0.1,supervised learning model for time-series,000:00:06
8fd63bf3-642a-4ef3-874c-10dbfccfe605,1618828593.3673422,all,"('2017-12-02', '2019-05-30')",{'rmse': 52125.0},0.1,supervised learning model for time-series,000:00:06
418a0020-b90e-4317-8fb1-5e14b5960874,1618828598.9080534,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 28434.0},0.1,supervised learning model for time-series,000:00:05
6a574b2d-d0b6-4b7c-8d4b-282ea0404d8b,1618828610.2511356,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 34513.0},0.1,supervised learning model for time-series,000:00:05
7e2e3b25-58f5-40d4-abf9-30a44c4f62d4,1618830483.7120585,all,"('2017-11-29', '2019-05-31')",{'rmse': 47223.0},0.1,supervised learning model for time-series,000:00:05
192617a7-faec-4551-b19f-3823807fba0b,1618830495.9815238,all,"('2017-11-29', '2019-05-31')",{'rmse': 32517.0},0.1,supervised learning model for time-series,000:00:05
9770a327-1979-46d1-b86f-799c982104d5,1618830502.525003,united_kingdom,"('2017-11-29', '2019-05-27')",{'rmse': 44261.0},0.1,supervised learning model for time-series,000:00:06
aa73c6b6-e5bd-417d-b6db-a5be406fbd3a,1618830513.0111382,united_kingdom,"('2017-11-29', '2019-05-27')",{'rmse': 36963.0},0.1,supervised learning model for time-series,000:00:06
4eb8308b-05bb-4693-bd0b-e041a18a21fb,1618831486.5355241,all,"('2017-12-02', '2019-05-31')",{'rmse': 36318.0},0.1,supervised learning model for time-series,000:00:05
b08cc5d9-a26d-4ffb-9717-677a4fec3ec3,1618831498.5828319,all,"('2017-12-02', '2019-05-31')",{'rmse': 26659.0},0.1,supervised learning model for time-series,000:00:05
56bb31f7-d65c-4e3f-8103-dbb08f7797a7,1618831504.3429537,united_kingdom,"('2017-12-08', '2019-05-30')",{'rmse': 34259.0},0.1,supervised learning model for time-series,000:00:05
3c8c447d-f58b-4eaf-aec1-2ca245128595,1618831514.9400535,united_kingdom,"('2017-12-08', '2019-05-30')",{'rmse': 25857.0},0.1,supervised learning model for time-series,000:00:05
4290c2a6-4aff-4026-91b8-b60fb2cebdcc,1618831558.7554421,all,"('2017-12-01', '2019-05-30')",{'rmse': 33536.0},0.1,supervised learning model for time-series,000:00:05
0d571f26-e37d-4385-bb63-3f594261f63c,1618831572.4347394,all,"('2017-12-01', '2019-05-30')",{'rmse': 24582.0},0.1,supervised learning model for time-series,000:00:05
65a1a757-4024-4256-b133-1f96832bb277,1618831578.4931784,united_kingdom,"('2017-12-03', '2019-05-27')",{'rmse': 42485.0},0.1,supervised learning model for time-series,000:00:06
53d3c683-fe00-4387-a825-8568aac8cf9a,1618831587.1198664,united_kingdom,"('2017-12-03', '2019-05-27')",{'rmse': 46744.0},0.1,supervised learning model for time-series,000:00:06
4cc70666-32fa-413b-aba2-58270b5c5396,1618831709.172951,all,"('2017-11-29', '2019-05-29')",{'rmse': 35640.0},0.1,supervised learning model for time-series,000:00:05
41d324d5-d998-4347-953a-daad061b42f1,1618831720.2863772,all,"('2017-11-29', '2019-05-29')",{'rmse': 31752.0},0.1,supervised learning model for time-series,000:00:05
b8e6ecbc-105e-4292-88a4-fa8146f023cc,1618831726.2256315,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 49296.0},0.1,supervised learning model for time-series,000:00:05
ccbc6009-8053-4dbd-87e5-6774642879f4,1618831737.354976,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 44283.0},0.1,supervised learning model for time-series,000:00:05
bb54e208-c141-4b63-8812-d1fd292390f5,1618833106.9349115,all,"('2017-12-05', '2019-05-31')",{'rmse': 41305.0},0.1,supervised learning model for time-series,000:00:06
80e5e196-8852-426e-9981-88140a4c47d2,1618833119.598367,all,"('2017-12-05', '2019-05-31')",{'rmse': 44104.0},0.1,supervised learning model for time-series,000:00:06
2780dcd0-b454-4d54-b48c-8c7aba57eb09,1618833126.3262744,united_kingdom,"('2017-11-30', '2019-05-31')",{'rmse': 33285.0},0.1,supervised learning model for time-series,000:00:06
5dd65531-61ed-44a7-8e3a-ea004fbf7db7,1618833139.6541336,united_kingdom,"('2017-11-30', '2019-05-31')",{'rmse': 42140.0},0.1,supervised learning model for time-series,000:00:06
2f178fde-aba4-48ca-8e8d-75dcfe0a08c6,1618833307.5093617,all,"('2017-11-29', '2019-05-31')",{'rmse': 35139.0},0.1,supervised learning model for time-series,000:00:06
ccb18745-ae49-4436-bb39-a09f7b9a55b1,1618833320.5581849,all,"('2017-11-29', '2019-05-31')",{'rmse': 35283.0},0.1,supervised learning model for time-series,000:00:06
7b266c98-d91b-4c87-960b-1881c4d8ed72,1618833327.178151,united_kingdom,"('2017-12-04', '2019-05-31')",{'rmse': 41353.0},0.1,supervised learning model for time-series,000:00:06
86804685-788e-4e2d-b879-460b236c1ec8,1618833340.963433,united_kingdom,"('2017-12-04', '2019-05-31')",{'rmse': 41597.0},0.1,supervised learning model for time-series,000:00:06
523327d8-10f3-4a99-abb3-110dc8bec3ee,1618833920.6415603,all,"('2017-11-29', '2019-05-27')",{'rmse': 32425.0},0.1,supervised learning model for time-series,000:00:07
b1afed84-315c-44bd-832d-f9e50fb05d7c,1618833931.6837666,all,"('2017-11-29', '2019-05-27')",{'rmse': 36455.0},0.1,supervised learning model for time-series,000:00:07
f2a76fec-0b19-4d31-be93-df0e4cd97535,1618833937.0800312,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 33653.0},0.1,supervised learning model for time-series,000:00:05
2050d5f7-693c-4463-89e9-6ebc888d80da,1618833950.4288445,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 40665.0},0.1,supervised learning model for time-series,000:00:05
eef070c1-4aae-4f4d-b888-788d85809534,1618836084.0959787,all,"('2017-11-29', '2019-05-30')",{'rmse': 62081.0},0.1,supervised learning model for time-series,000:00:05
163d6321-806a-405e-922d-e957481afe85,1618836094.418151,all,"('2017-11-29', '2019-05-30')",{'rmse': 49083.0},0.1,supervised learning model for time-series,000:00:05
bf8aaa30-e0b4-46d9-a379-f9bd2bc745ad,1618836100.1339433,united_kingdom,"('2017-12-04', '2019-05-30')",{'rmse': 32094.0},0.1,supervised learning model for time-series,000:00:05
86caf440-f1f7-4085-b429-19aecdfc8647,1618836112.202806,united_kingdom,"('2017-12-04', '2019-05-30')",{'rmse': 26821.0},0.1,supervised learning model for time-series,000:00:05
73adc965-33f5-4c34-bf31-b43542a39ce5,1618836280.6694112,all,"('2017-11-30', '2019-05-28')",{'rmse': 25924.0},0.1,supervised learning model for time-series,000:00:05
9446e012-5175-420d-8fdb-4ca2b12fd94f,1618836292.4703634,all,"('2017-11-30', '2019-05-28')",{'rmse': 35058.0},0.1,supervised learning model for time-series,000:00:05
07123051-60ab-403a-865e-60b5b7b3032c,1618836297.9402547,united_kingdom,"('2017-12-01', '2019-05-31')",{'rmse': 42211.0},0.1,supervised learning model for time-series,000:00:05
03578d5d-9443-45fd-badf-6775c8d2016d,1618836307.9762301,united_kingdom,"('2017-12-01', '2019-05-31')",{'rmse': 27678.0},0.1,supervised learning model for time-series,000:00:05
12cfaa36-635e-4de3-8fae-d5271fe2598b,1618836693.484834,all,"('2017-12-02', '2019-05-29')",{'rmse': 67499.0},0.1,supervised learning model for time-series,000:00:05
1ee65709-20fe-4a70-b7c6-581747fdb3e9,1618836704.6189604,all,"('2017-12-02', '2019-05-29')",{'rmse': 63721.0},0.1,supervised learning model for time-series,000:00:05
1945ba1e-d284-4235-b347-ddf5dbe2306c,1618836710.5522094,united_kingdom,"('2017-11-30', '2019-05-29')",{'rmse': 39532.0},0.1,supervised learning model for time-series,000:00:05
9037a81c-2ab1-4210-ab10-d333dd388734,1618836723.203148,united_kingdom,"('2017-11-30', '2019-05-29')",{'rmse': 26047.0},0.1,supervised learning model for time-series,000:00:05
fa80f774-2892-4f23-a7af-f03d4d94e8c9,1618836801.2750983,all,"('2017-12-01', '2019-05-22')",{'rmse': 64621.0},0.1,supervised learning model for time-series,000:00:05
f3b38112-28d1-4040-9e79-886555d5413b,1618836811.7678852,all,"('2017-12-01', '2019-05-22')",{'rmse': 56834.0},0.1,supervised learning model for time-series,000:00:05
f95d7811-8731-4170-a7db-503126f48b0f,1618836817.3140686,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 42612.0},0.1,supervised learning model for time-series,000:00:05
e237ae60-4fe2-4a90-8b22-46a7dd6df2df,1618836828.2772298,united_kingdom,"('2017-12-01', '2019-05-30')",{'rmse': 37651.0},0.1,supervised learning model for time-series,000:00:05
8af5c239-b11c-4f17-aeaa-d4cd18feb85f,1618836975.0799627,all,"('2017-12-05', '2019-05-27')",{'rmse': 36175.0},0.1,supervised learning model for time-series,000:00:05
ab30d835-7c40-4987-b54a-c4fbae7966b9,1618836986.0420125,all,"('2017-12-05', '2019-05-27')",{'rmse': 32385.0},0.1,supervised learning model for time-series,000:00:05
a97494d7-c0ef-4d74-9fc5-f99c5cde1659,1618836991.4595888,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 35204.0},0.1,supervised learning model for time-series,000:00:05
eb067173-d1e7-43c2-b17f-85e58be141e8,1618837003.4493358,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 34092.0},0.1,supervised learning model for time-series,000:00:05
